latitude,longitude,acq_date,acq_time,frp,brightness,bright_t31,confidence,risk_score,risk_level
7.5681,80.92384,2026-08-09,820,4.36,333.43,298.64,n,24.62,Low
7.65889,81.14084,2026-08-09,820,8.06,337.46,297.74,n,29.63,Low
7.69441,81.15324,2026-08-09,820,3.61,332.53,297.55,n,23.56,Low
7.69379,81.14894,2026-08-09,820,3.61,337.21,299.18,n,26.16,Low
7.69746,81.14842,2026-08-09,820,3.61,333.75,297.71,n,24.24,Low
7.93397,81.3446,2026-08-09,820,3.25,330.94,297.31,n,22.4,Low
8.00115,81.21894,2026-08-09,820,2.61,331.95,293.96,n,22.49,Low
8.00548,81.22277,2026-08-09,820,4.29,331.67,295.5,n,23.59,Low
8.1039,81.107,2026-08-09,820,4.61,333.36,292.28,n,24.77,Low
8.20783,80.57188,2026-08-09,820,3.69,337.75,291.16,n,26.52,Low
8.20257,80.4487,2026-08-09,820,4.26,338.59,286.71,n,27.41,Low
8.35285,80.79776,2026-08-09,820,8.24,350.02,298.19,n,36.75,Low
8.35344,80.7984,2026-08-09,820,9.06,340.16,297.62,n,31.88,Low
8.2831,80.20823,2026-08-09,820,8.29,347.16,291.85,n,35.2,Low
8.38241,80.6659,2026-08-09,820,8.36,348.52,288.4,n,36.0,Low
8.39263,80.66016,2026-08-09,820,12.33,347.48,289.94,n,38.4,Low
8.67835,80.37698,2026-08-09,820,5.08,335.78,283.81,n,26.47,Low
8.67597,80.36073,2026-08-09,820,3.28,339.48,287.28,n,27.17,Low
8.712250000000001,80.35955,2026-08-09,820,6.61,339.92,292.38,n,29.91,Low
8.71466,80.3596,2026-08-09,820,2.51,331.0,291.55,n,21.88,Low
8.73953,80.40584,2026-08-09,820,3.51,332.52,293.33,n,23.48,Low
8.86085,80.50182,2026-08-09,820,10.71,347.4,287.83,n,37.14,Low
8.87646,80.48267,2026-08-09,820,3.62,332.63,292.76,n,23.62,Low
8.90778,77.70798,2026-08-09,820,1.5,331.91,300.39,n,21.63,Low
8.89835,78.04342,2026-08-09,820,1.95,335.75,298.13,n,24.1,Low
9.27793,79.12687,2026-08-09,820,6.85,335.7,300.72,n,27.75,Low
9.23388,78.68824,2026-08-09,820,2.14,333.0,298.5,n,22.72,Low
